date,city,rainfall_mm,temperature
2025-12-23,Gorakhpur,0.0,14.7
2025-12-24,Gorakhpur,0.0,15.5
2025-12-25,Gorakhpur,0.0,14.4
2025-12-26,Gorakhpur,0.0,14.6
2025-12-27,Gorakhpur,0.0,14.6
2025-12-28,Gorakhpur,0.0,14.4
2025-12-29,Gorakhpur,0.0,13.4
2025-12-30,Gorakhpur,0.0,13.1
2025-12-23,Greater Noida,0.0,16.6
2025-12-24,Greater Noida,0.0,16.0
2025-12-25,Greater Noida,0.0,14.9
2025-12-26,Greater Noida,0.0,14.7
2025-12-27,Greater Noida,0.0,14.7
2025-12-28,Greater Noida,0.0,13.9
2025-12-29,Greater Noida,0.0,12.7
2025-12-30,Greater Noida,0.0,14.2
2025-12-23,Gulbarga,0.0,22.8
2025-12-24,Gulbarga,0.0,21.8
2025-12-25,Gulbarga,0.0,21.9
2025-12-26,Gulbarga,0.0,22.1
2025-12-27,Gulbarga,0.0,22.2
2025-12-28,Gulbarga,0.0,21.9
2025-12-29,Gulbarga,0.0,22.2
2025-12-30,Gulbarga,0.0,22.5
2025-12-23,Gurgaon,0.0,16.2
2025-12-24,Gurgaon,0.0,15.8
2025-12-25,Gurgaon,0.0,15.0
2025-12-26,Gurgaon,0.0,14.4
2025-12-27,Gurgaon,0.0,14.6
2025-12-28,Gurgaon,0.0,13.6
2025-12-29,Gurgaon,0.0,13.7
2025-12-30,Gurgaon,0.0,13.6
2025-12-23,Guwahati,0.0,20.1
2025-12-24,Guwahati,0.0,21.0
2025-12-25,Guwahati,0.0,20.1
2025-12-26,Guwahati,0.0,20.1
2025-12-27,Guwahati,0.0,20.1
2025-12-28,Guwahati,0.0,19.1
2025-12-29,Guwahati,0.0,18.1
2025-12-30,Guwahati,0.0,17.4
2025-12-23,Gwalior,0.0,17.5
2025-12-24,Gwalior,0.0,17.8
2025-12-25,Gwalior,0.0,15.1
2025-12-26,Gwalior,0.0,15.0
2025-12-27,Gwalior,0.0,15.1
2025-12-28,Gwalior,0.0,15.0
2025-12-29,Gwalior,0.0,15.5
2025-12-30,Gwalior,0.0,16.1
2025-12-23,Hapur,0.0,15.9
2025-12-24,Hapur,0.0,15.3
2025-12-25,Hapur,0.0,14.2
2025-12-26,Hapur,0.0,13.7
2025-12-27,Hapur,0.0,13.6
2025-12-28,Hapur,0.0,12.8
2025-12-29,Hapur,0.0,11.8
2025-12-30,Hapur,0.0,12.3
2025-12-23,Hassan,0.0,18.9
2025-12-24,Hassan,0.0,18.5
2025-12-25,Hassan,0.0,18.6
2025-12-26,Hassan,0.0,19.6
2025-12-27,Hassan,0.0,19.6
2025-12-28,Hassan,0.0,19.2
2025-12-29,Hassan,0.0,20.1
2025-12-30,Hassan,0.0,21.4
2025-12-23,Hospet,0.0,22.6
2025-12-24,Hospet,0.0,22.3
2025-12-25,Hospet,0.0,22.6
2025-12-26,Hospet,0.0,21.9
2025-12-27,Hospet,0.0,22.7
2025-12-28,Hospet,0.0,22.0
2025-12-29,Hospet,0.0,22.4
2025-12-30,Hospet,0.0,23.2
2025-12-23,Hosur,0.0,19.3
2025-12-24,Hosur,0.0,19.4
2025-12-25,Hosur,0.0,19.1
2025-12-26,Hosur,0.1,20.6
2025-12-27,Hosur,0.0,19.7
2025-12-28,Hosur,0.0,19.9
2025-12-29,Hosur,0.0,19.8
2025-12-30,Hosur,0.0,20.8
2025-12-23,Hubli,0.0,20.3
2025-12-24,Hubli,0.0,19.9
2025-12-25,Hubli,0.0,19.9
2025-12-26,Hubli,0.0,19.8
2025-12-27,Hubli,0.0,20.8
2025-12-28,Hubli,0.0,20.2
2025-12-29,Hubli,0.0,20.4
2025-12-30,Hubli,0.0,20.6
2025-12-23,Hyderabad,43.5,20.6
